"zip","city","county","population"
"11692","Arverne","Queens","22394"
"13850","Vestal","Broome","22392"
"11762","Massapequa Park","Nassau","22263"
"10708","Bronxville","Westchester","22212"
"14211","Buffalo","Erie","22206"
"13820","Oneonta","Otsego","22157"
"14213","Buffalo","Erie","22132"
"14020","Batavia","Genesee","22060"
"14617","Rochester","Monroe","21985"
"11581","Valley Stream","Nassau","21847"
"14223","Buffalo","Erie","21734"
"13212","Syracuse","Onondaga","21557"
"11563","Lynbrook","Nassau","21537"
"14216","Buffalo","Erie","21464"
"12047","Cohoes","Albany","21453"
"10552","Mount Vernon","Westchester","21342"
"10805","New Rochelle","Westchester","21331"
"14072","Grand Island","Erie","21287"
"11783","Seaford","Nassau","21285"
"11694","Rockaway Park","Queens","21258"
"12110","Latham","Albany","21223"
"14420","Brockport","Monroe","21124"
"11726","Copiague","Suffolk","21012"
"10543","Mamaroneck","Westchester","20999"
"12304","Schenectady","Schenectady","20929"
"13088","Liverpool","Onondaga","20926"
"11768","Northport","Suffolk","20903"
"10990","Warwick","Orange","20735"
"12144","Rensselaer","Rensselaer","20604"
"14227","Buffalo","Erie","20540"
"12208","Albany","Albany","20517"
"11411","Cambria Heights","Queens","20473"
"14845","Horseheads","Chemung","20401"
"10509","Brewster","Putnam","20230"
"11426","Bellerose","Queens","20222"
"10567","Cortlandt Manor","Westchester","20094"
"14206","Buffalo","Erie","20064"
"10605","White Plains","Westchester","19849"
"11428","Queens Village","Queens","19830"
"12508","Beacon","Dutchess","19812"
"14214","Buffalo","Erie","19754"
"11501","Mineola","Nassau","19675"
"14456","Geneva","Ontario","19539"
"11738","Farmingville","Suffolk","19364"
"13204","Syracuse","Onondaga","19264"
"14051","East Amherst","Erie","19178"
"10037","New York City","New York","19177"
"14830","Corning","Steuben","19138"
"14526","Penfield","Monroe","19001"
"11436","Jamaica","Queens","18955"
"14218","Buffalo","Erie","18935"
"11360","Bayside","Queens","18892"
"10603","White Plains","Westchester","18862"
"11747","Melville","Suffolk","18795"
"13901","Binghamton","Broome","18786"
"11362","Little Neck","Queens","18694"
"14559","Spencerport","Monroe","18584"
"11415","Kew Gardens","Queens","18464"
"11030","Manhasset","Nassau","18450"
"12561","New Paltz","Ulster","18224"
"11021","Great Neck","Nassau","18181"
"14468","Hilton","Monroe","17994"
"12189","Watervliet","Albany","17945"
"10302","Staten Island","Richmond","17942"
"13903","Binghamton","Broome","17905"
"12477","Saugerties","Ulster","17870"
"11754","Kings Park","Suffolk","17861"
"12589","Wallkill","Ulster","17843"
"12534","Hudson","Columbia","17814"
"13790","Johnson City","Broome","17763"
"14052","East Aurora","Erie","17664"
"14760","Olean","Cattaraugus","17567"
"14611","Rochester","Monroe","17429"
"12831","Gansevoort","Saratoga","17389"
"10580","Rye","Westchester","17185"
"13039","Cicero","Onondaga","17078"
"14305","Niagara Falls","Niagara","17026"
"11733","East Setauket","Suffolk","17000"
"12054","Delmar","Albany","16948"
"14607","Rochester","Monroe","16880"
"13203","Syracuse","Onondaga","16876"
"13206","Syracuse","Onondaga","16837"
"11703","North Babylon","Suffolk","16820"
"14615","Rochester","Monroe","16812"
"11575","Roosevelt","Nassau","16799"
"13676","Potsdam","St. Lawrence","16754"
"13205","Syracuse","Onondaga","16746"
"11788","Hauppauge","Suffolk","16693"
"11937","East Hampton","Suffolk","16672"
"12118","Mechanicville","Saratoga","16467"
"10606","White Plains","Westchester","16199"
"13662","Massena","St. Lawrence","16179"
"10538","Larchmont","Westchester","16151"
"11950","Mastic","Suffolk","16130"
"10549","Mount Kisco","Westchester","16121"
"11790","Stony Brook","Suffolk","16099"
"10017","New York City","New York","16065"
"13104","Manlius","Onondaga","16038"
"11780","Saint James","Suffolk","15934"
"13669","Ogdensburg","St. Lawrence","15870"
"10960","Nyack","Rockland","15757"
"13413","New Hartford","Oneida","15750"
"11798","Wyandanch","Suffolk","15636"
"12524","Fishkill","Dutchess","15608"
"14901","Elmira","Chemung","15581"
"12206","Albany","Albany","15537"
"10470","Bronx","Bronx","15500"
"10965","Pearl River","Rockland","15493"
"13031","Camillus","Onondaga","15484"
"12953","Malone","Franklin","15469"
"14613","Rochester","Monroe","15375"
"14564","Victor","Ontario","15359"
"11004","Glen Oaks","Queens","15297"
"14904","Elmira","Chemung","15109"
"14222","Buffalo","Erie","15103"
"11946","Hampton Bays","Suffolk","15058"
"11782","Sayville","Suffolk","15057"
"10307","Staten Island","Richmond","15053"
"11767","Nesconset","Suffolk","15051"
"13219","Syracuse","Onondaga","14819"
"11951","Mastic Beach","Suffolk","14756"
"12538","Hyde Park","Dutchess","14566"
"14048","Dunkirk","Chautauqua","14414"
"12771","Port Jervis","Orange","14408"
"10804","New Rochelle","Westchester","14365"
"12801","Glens Falls","Warren","14330"
"13215","Syracuse","Onondaga","14306"
"11953","Middle Island","Suffolk","14301"
"12019","Ballston Lake","Saratoga","14244"
"14210","Buffalo","Erie","14148"
"11366","Fresh Meadows","Queens","14109"
"12308","Schenectady","Schenectady","14038"
"11598","Woodmere","Nassau","13977"
"11702","Babylon","Suffolk","13963"
"10980","Stony Point","Rockland","13923"
"14063","Fredonia","Chautauqua","13891"
"12182","Troy","Rensselaer","13886"
"14619","Rochester","Monroe","13788"
"14513","Newark","Wayne","13749"
"11961","Ridge","Suffolk","13701"
"14411","Albion","Orleans","13671"
"11764","Miller Place","Suffolk","13633"
"10924","Goshen","Orange","13538"
"11949","Manorville","Suffolk","13457"
"11751","Islip","Suffolk","13399"
"10528","Harrison","Westchester","13395"
"10941","Middletown","Orange","13384"
"14610","Rochester","Monroe","13373"
"11730","East Islip","Suffolk","13335"
"13421","Oneida","Madison","13230"
"13057","East Syracuse","Onondaga","13126"
"11753","Jericho","Nassau","13092"
"11693","Far Rockaway","Queens","13029"
"12839","Hudson Falls","Washington","13011"
"10530","Hartsdale","Westchester","12925"
"14622","Rochester","Monroe","12906"
"13815","Norwich","Chenango","12901"
"10520","Croton On Hudson","Westchester","12885"
"14527","Penn Yan","Yates","12835"
"11239","Brooklyn","Kings","12832"
"10570","Pleasantville","Westchester","12780"
"10044","New York City","New York","12770"
"12528","Highland","Ulster","12767"
"11545","Glen Head","Nassau","12686"
"11576","Roslyn","Nassau","12606"
"13207","Syracuse","Onondaga","12552"
"10514","Chappaqua","Westchester","12543"
"13032","Canastota","Madison","12522"
"11755","Lake Grove","Suffolk","12514"
"10803","Pelham","Westchester","12492"
"14843","Hornell","Steuben","12447"
"13066","Fayetteville","Onondaga","12443"
"13209","Syracuse","Onondaga","12364"
"10918","Chester","Orange","12286"
"14004","Alden","Erie","12240"
"14425","Farmington","Ontario","12230"
"11577","Roslyn Heights","Nassau","12120"
"10927","Haverstraw","Rockland","12076"
"12095","Johnstown","Fulton","11986"
"11742","Holtsville","Suffolk","11968"
"12566","Pine Bush","Orange","11886"
"11778","Rocky Point","Suffolk","11855"
"14586","West Henrietta","Monroe","11848"
"14301","Niagara Falls","Niagara","11838"
"13041","Clay","Onondaga","11808"
"12188","Waterford","Saratoga","11774"
"12586","Walden","Orange","11774"
"14810","Bath","Steuben","11673"
"13323","Clinton","Oneida","11585"
"10474","Bronx","Bronx","11579"
"13617","Canton","St. Lawrence","11556"
"13827","Owego","Tioga","11538"
"14519","Ontario","Wayne","11537"
"14605","Rochester","Monroe","11457"
"12549","Montgomery","Orange","11453"
"14219","Buffalo","Erie","11391"
"12701","Monticello","Sullivan","11278"
"14437","Dansville","Livingston","11274"
"14608","Rochester","Monroe","11260"
"14454","Geneseo","Livingston","11237"
"12211","Albany","Albany","11227"
"14201","Buffalo","Erie","11192"
"10604","West Harrison","Westchester","11132"
"13492","Whitesboro","Oneida","11118"
"12210","Albany","Albany","11057"
"10522","Dobbs Ferry","Westchester","11052"
"11766","Mount Sinai","Suffolk","11018"
"10536","Katonah","Westchester","11002"
"14212","Buffalo","Erie","10973"
"13078","Jamesville","Onondaga","10940"
"14092","Lewiston","Niagara","10819"
"11968","Southampton","Suffolk","10778"
"13357","Ilion","Herkimer","10748"
"13148","Seneca Falls","Seneca","10648"
"14502","Macedon","Wayne","10551"
"14103","Medina","Orleans","10448"
"14059","Elma","Erie","10446"
"13619","Carthage","Jefferson","10439"
"10970","Pomona","Rockland","10433"
"14208","Buffalo","Erie","10346"
"10510","Briarcliff Manor","Westchester","10300"
"11596","Williston Park","Nassau","10276"
"10601","White Plains","Westchester","10256"
"12209","Albany","Albany","10237"
"14870","Painted Post","Steuben","10202"
"14031","Clarence","Erie","10158"
"14032","Clarence Center","Erie","10084"
"13642","Gouverneur","St. Lawrence","10055"
"14625","Rochester","Monroe","10051"
"12571","Red Hook","Dutchess","10037"
"14467","Henrietta","Monroe","9909"
"13165","Waterloo","Seneca","9905"
"12569","Pleasant Valley","Dutchess","9838"
"14006","Angola","Erie","9823"
"11518","East Rockaway","Nassau","9819"
"13904","Binghamton","Broome","9789"
"10930","Highland Mills","Orange","9789"
"13037","Chittenango","Madison","9775"
"11716","Bohemia","Suffolk","9748"
"10553","Mount Vernon","Westchester","9747"
"13350","Herkimer","Herkimer","9727"
"12414","Catskill","Greene","9726"
"12061","East Greenbush","Rensselaer","9725"
"10707","Tuckahoe","Westchester","9713"
"12828","Fort Edward","Washington","9690"
"13036","Central Square","Oswego","9632"
"14522","Palmyra","Wayne","9559"
"11771","Oyster Bay","Nassau","9517"
"11023","Great Neck","Nassau","9479"
"10523","Elmsford","Westchester","9415"
"10280","New York City","New York","9372"
"10709","Eastchester","Westchester","9369"
"14001","Akron","Erie","9324"
"11740","Greenlawn","Suffolk","9321"
"13603","Watertown","Jefferson","9274"
"14472","Honeoye Falls","Monroe","9271"
"11777","Port Jefferson","Suffolk","9156"
"11797","Woodbury","Nassau","8998"
"12572","Rhinebeck","Dutchess","8961"
"14895","Wellsville","Allegany","8957"
"11565","Malverne","Nassau","8921"
"10920","Congers","Rockland","8919"
"13367","Lowville","Lewis","8893"
"12540","Lagrangeville","Dutchess","8882"
"14011","Attica","Wyoming","8864"
"10992","Washingtonville","Orange","8830"
"11752","Islip Terrace","Suffolk","8821"
"13035","Cazenovia","Madison","8707"
"10005","New York City","New York","8664"
"10706","Hastings On Hudson","Westchester","8622"
"13224","Syracuse","Onondaga","8486"
"13365","Little Falls","Herkimer","8472"
"10595","Valhalla","Westchester","8439"
"11558","Island Park","Nassau","8435"
"10989","Valley Cottage","Rockland","8415"
"11792","Wading River","Suffolk","8413"
"13214","Syracuse","Onondaga","8392"
"14905","Elmira","Chemung","8330"
"12803","South Glens Falls","Saratoga","8317"
"11769","Oakdale","Suffolk","8299"
"11559","Lawrence","Nassau","8265"
"10579","Putnam Valley","Putnam","8250"
"11713","Bellport","Suffolk","8247"
"14482","Le Roy","Genesee","8230"
"12043","Cobleskill","Schoharie","8202"
"14057","Eden","Erie","8192"
"11096","Inwood","Nassau","8155"
"12033","Castleton On Hudson","Rensselaer","8152"
"10018","New York City","New York","8135"
"10589","Somers","Westchester","8080"
"10504","Armonk","Westchester","8053"
"10547","Mohegan Lake","Westchester","8034"
"11705","Bayport","Suffolk","8033"
"13340","Frankfort","Herkimer","8023"
"14204","Buffalo","Erie","8003"
"12159","Slingerlands","Albany","7971"
"11557","Hewlett","Nassau","7950"
"11024","Great Neck","Nassau","7869"
"13152","Skaneateles","Onondaga","7841"
"14209","Buffalo","Erie","7807"
"14445","East Rochester","Monroe","7761"
"12202","Albany","Albany","7753"
"10923","Garnerville","Rockland","7753"
"14892","Waverly","Tioga","7748"
"12983","Saranac Lake","Franklin","7719"
"12564","Pawling","Dutchess","7710"
"12009","Altamont","Albany","7690"
"14085","Lake View","Erie","7605"
"13732","Apalachin","Tioga","7602"
"12563","Patterson","Putnam","7579"
"10007","New York City","New York","7566"
"14141","Springville","Erie","7534"
"14589","Williamson","Wayne","7502"
"12204","Albany","Albany","7497"
"11789","Sound Beach","Suffolk","7496"
"13403","Marcy","Oneida","7485"
"11516","Cedarhurst","Nassau","7476"
"10533","Irvington","Westchester","7463"
"14464","Hamlin","Monroe","7419"
"13029","Brewerton","Onondaga","7360"
"11934","Center Moriches","Suffolk","7357"
"14470","Holley","Orleans","7331"
"14428","Churchville","Monroe","7278"
"12307","Schenectady","Schenectady","7219"
"10590","South Salem","Westchester","7208"
"14903","Elmira","Chemung","7186"
"14068","Getzville","Erie","7169"
"10607","White Plains","Westchester","7162"
"10507","Bedford Hills","Westchester","7152"
"12754","Liberty","Sullivan","7142"
"12198","Wynantskill","Rensselaer","7119"
"10994","West Nyack","Rockland","7115"
"12018","Averill Park","Rensselaer","7112"
"14489","Lyons","Wayne","7065"
"11507","Albertson","Nassau","7051"
"11963","Sag Harbor","Suffolk","6966"
"14070","Gowanda","Cattaraugus","6958"
"13202","Syracuse","Onondaga","6943"
"11560","Locust Valley","Nassau","6850"
"11363","Little Neck","Queens","6834"
"14414","Avon","Livingston","6797"
"12570","Poughquag","Dutchess","6772"
"12051","Coxsackie","Greene","6769"
"12184","Valatie","Columbia","6762"
"13073","Groton","Tompkins","6729"
"11709","Bayville","Nassau","6720"
"12972","Peru","Clinton","6611"
"13114","Mexico","Oswego","6594"
"12158","Selkirk","Albany","6550"
"14779","Salamanca","Cattaraugus","6537"
"12428","Ellenville","Ulster","6535"
"14047","Derby","Erie","6525"
"10069","New York City","New York","6504"
"12832","Granville","Washington","6500"
"14886","Trumansburg","Tompkins","6490"
"12077","Glenmont","Albany","6488"
"13142","Pulaski","Oswego","6486"
"11933","Calverton","Suffolk","6475"
"13077","Homer","Cortland","6462"
"10577","Purchase","Westchester","6387"
"13339","Fort Plain","Montgomery","6382"
"10996","West Point","Orange","6342"
"11020","Great Neck","Nassau","6325"
"14514","North Chili","Monroe","6293"
"11721","Centerport","Suffolk","6258"
"12305","Schenectady","Schenectady","6246"
"14568","Walworth","Wayne","6241"
"11786","Shoreham","Suffolk","6225"
"13346","Hamilton","Madison","6225"
"12582","Stormville","Dutchess","6213"
"13865","Windsor","Broome","6203"
"13108","Marcellus","Onondaga","6193"
"12186","Voorheesville","Albany","6190"
"13316","Camden","Oneida","6168"
"13902","Binghamton","Broome","6162"
"12222","Albany","Albany","6151"
"13118","Moravia","Cayuga","6130"
"11109","Long Island City","Queens","6127"
"13211","Syracuse","Onondaga","6117"
"14706","Allegany","Cattaraugus","6110"
"12834","Greenwich","Washington","6101"
"10282","New York City","New York","6086"
"11971","Southold","Suffolk","6073"
"14132","Sanborn","Niagara","5999"
"13856","Walton","Delaware","5999"
"14487","Livonia","Livingston","5997"
"11980","Yaphank","Suffolk","5966"
"12822","Corinth","Saratoga","5962"
"14837","Dundee","Yates","5947"
"13135","Phoenix","Oswego","5939"
"12090","Hoosick Falls","Rensselaer","5931"
"12986","Tupper Lake","Franklin","5928"
"10962","Orangeburg","Rockland","5927"
"14569","Warsaw","Wyoming","5910"
"12721","Bloomingburg","Sullivan","5881"
"12518","Cornwall","Orange","5861"
"14174","Youngstown","Niagara","5843"
"12542","Marlboro","Ulster","5684"
"13309","Boonville","Oneida","5672"
"14303","Niagara Falls","Niagara","5652"
"14469","Bloomfield","Ontario","5646"
"14009","Arcade","Wyoming","5625"
"10983","Tappan","Rockland","5597"
"14036","Corfu","Genesee","5588"
"10594","Thornwood","Westchester","5587"
"14261","Buffalo","Erie","5557"
"10506","Bedford","Westchester","5555"
"13753","Delhi","Delaware","5511"
"14530","Perry","Wyoming","5500"
"13166","Weedsport","Cayuga","5465"
"13778","Greene","Chenango","5458"
"10516","Cold Spring","Putnam","5449"
"14867","Newfield","Tompkins","5431"
"14590","Wolcott","Wayne","5420"
"14551","Sodus","Wayne","5392"
"14727","Cuba","Allegany","5385"
"10502","Ardsley","Westchester","5351"
"12025","Broadalbin","Fulton","5331"
"13159","Tully","Onondaga","5303"
"13624","Clayton","Jefferson","5297"
"10913","Blauvelt","Rockland","5294"
"14432","Clifton Springs","Ontario","5277"
"14505","Marion","Wayne","5277"
"14801","Addison","Steuben","5234"
"14108","Newfane","Niagara","5196"
"13068","Freeville","Tompkins","5184"
"11579","Sea Cliff","Nassau","5183"
"13605","Adams","Jefferson","5173"
"13326","Cooperstown","Otsego","5165"
"12123","Nassau","Rensselaer","5120"
"13830","Oxford","Chenango","5119"
"13733","Bainbridge","Chenango","5112"
"12962","Morrisonville","Clinton","5084"
"14871","Pine City","Chemung","5081"
"14131","Ransomville","Niagara","5056"
"11942","East Quogue","Suffolk","5053"
"10993","West Haverstraw","Rockland","5044"
"10576","Pound Ridge","Westchester","5036"
"12170","Stillwater","Saratoga","5034"
"12143","Ravena","Albany","5032"
"11952","Mattituck","Suffolk","5031"
"14572","Wayland","Steuben","5017"
"14067","Gasport","Niagara","4971"
"11940","East Moriches","Suffolk","4963"
"12522","Dover Plains","Dutchess","4918"
"13053","Dryden","Tompkins","4861"
"12887","Whitehall","Washington","4857"
"13407","Mohawk","Herkimer","4830"
"12946","Lake Placid","Essex","4819"
"10560","North Salem","Westchester","4814"
"14883","Spencer","Tioga","4808"
"12084","Guilderland","Albany","4806"
"12883","Ticonderoga","Essex","4790"
"14787","Westfield","Chautauqua","4759"
"14105","Middleport","Niagara","4745"
"10532","Hawthorne","Westchester","4739"
"12498","Woodstock","Ulster","4713"
"12446","Kerhonkson","Ulster","4683"
"13452","Saint Johnsville","Montgomery","4671"
"11514","Carle Place","Nassau","4644"
"12816","Cambridge","Washington","4642"
